barcode,brand,colors,pattern,occasion,more_attributes,category,style,material,tops_fit,sleeve_type,tops_length,overclothes_closure,blazer_neckline_type,underarm_sleeve_length,neckline_type,sleeve_length,heels_height,overclothes_neckline_type,overclothes_type,waist_type,bottoms_length,skirt_type,skirt_length,bottoms_fit,jumpsuit_length,overclothes-sleeveless_type,poncho_type,slippers-shoe_type,sportswear_type,sweatshirt_type,tank_type,bottoms_type
tensor(49594702040101),Betty Barclay,,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49913701050101),Part Two,black,,casual,Not Known,Not Known,casual,Not Known,oversized-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(43429208040101),Caroline Biss,black,plain,casual;semi-formal,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48352601030101),Xandres,multicolor,,dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50782201050101),GERRY WEBER,multicolor;navy,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49631101040101),Street One,,plain,casual,,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50088301100301),Street One,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50799401020101),Tommy Hilfiger,,quilted,casual,,Not Known,casual,Not Known,regular-fit-tops,Not Known,Not Known,zipper-closure,Not Known,Not Known,Not Known,Not Known,Not Known,hooded,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51106901040101),Terre Bleue,,,casual,Not Known,Not Known,casual,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47754402050101),GERRY WEBER,,,casual;office,buttons;cargo,blazer,business,Not Known,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50121501020101),Liu Jo Sport,,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51568901050101),GERRY WEBER,,plain,casual;dating;nightout;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,straight-fit-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49767701050101),GERRY WEBER EDITION,multicolor,leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49739401050101),Mayerline,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,straight-fit-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48533403050101),TONI,ecru,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48495801020101),BRAX,,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50062101040101),Marc Cain,,,casual;home-lounge,Not Known,sweater,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48549801020101),Kocca,black,,casual;dating,Not Known,dress,casual,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47751202050101),GERRY WEBER,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50960601030101),CKS,,plain,casual;dating,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48902401050101),Part Two,black,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50255901030101),Xandres,,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50683701050101),Part Two,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48028201030101),Scotch & Soda,green,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50339101040101),Caroline Biss,multicolor;white,leaf,casual;dating;summer,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49861802020101),Tommy Hilfiger,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51097301040101),Terre Bleue,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51147902040101),Milestone,,quilted,casual,,jacket,casual,Not Known,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,hooded,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50565901040101),Caroline Biss,green,plain,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50974701040101),Senso,multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48409501040101),Caroline Biss,multicolor;white,leaf,casual;dating,Not Known,skirt,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50058801040101),Marc Cain Sports,,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,zipper-closure,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51074801010101),RAPHAELA by BRAX,,,casual;semi-formal,Not Known,trousers_and_chinos,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50496701030101),Scotch & Soda,multicolor,floral;leaf,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48284201020101),Second Female,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49667901050101),Rabe,blue;multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49441802020101),Hampton Bays,multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51308302020101),VERO MODA,white,,casual,,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48724201050101),GERRY WEBER,multicolor;white,,casual;dating,Not Known,skirt,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50424801020101),Tommy Hilfiger,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48522501030101),King Louie,,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49441802020101),Hampton Bays,multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48130301020101),Liu Jo Denim,,text-print,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51162801030101),Scotch & Soda,navy,,casual,buttons,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50965501050101),Rabe,multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50210402080101),Frapp,,,,buttons;cargo,Not Known,business,Not Known,regular-fit-tops,straight-sleeve,short,buttons-closure,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49438603020101),Hampton Bays,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50084603020101),RAPHAELA by BRAX,,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49865101040101),Betty Barclay,ecru,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(49530801030101),ESPRIT,,vertical-stripes,casual;home-lounge;winter,Not Known,sweater,casual,Not Known,oversized-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50831501080101),Doris Streich,green;multicolor,leaf,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,round-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49460201030101),FAM the label,black,plain,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50767001260101),Guess,,,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48806501040101),LeComte,multicolor,,casual,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,crew-neck,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50559403020101),BRAX,navy,,casual,Not Known,jeans,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,mid-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48211105080101),Doris Streich,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48088901070101),ONLY Carmakoma,,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47798801050101),Betty Barclay,multicolor,floral;leaf,casual,Not Known,t-shirt,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,round-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48130301020101),Liu Jo Denim,,text-print,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,crew-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49177701030101),Xandres,,,casual,buttons,jacket,casual,Not Known,regular-fit-tops,straight-sleeve,short,buttons-closure,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48613802030101),River Woods,,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,cropped,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50391702080101),Verpass,,plain,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(50306401030101),King Louie,multicolor,floral;leaf,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49059001020101),ONLY,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51147902040101),Milestone,,quilted,casual,,jacket,casual,Not Known,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,hooded,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(44572004040101),Caroline Biss,,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49460601030101),FAM the label,,plain,casual,Not Known,dress,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,midi,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49593301040101),Betty Barclay,,plain,casual,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(48637104110101),Xandres Gold,,,casual;semi-formal,Not Known,trousers_and_chinos,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,full-length,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,classic-trousers
tensor(50000201080101),Doris Streich,ecru,plain,casual,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,high-waist,3-4-long,Not Known,Not Known,slim-bottoms,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48726901050101),GERRY WEBER,multicolor;white,,casual,Not Known,t-shirt,casual,cotton,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49528601080101),Frapp,multicolor,,casual;dating,Not Known,dress,feminine,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,v-neck,3-4-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,mini,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49109301040101),Caroline Biss,blue;multicolor,floral;leaf,casual,Not Known,t-shirt,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(43429208040101),Caroline Biss,black,plain,casual;semi-formal,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48378001080101),Verpass,black,,casual;dating;semi-formal,Not Known,Not Known,Not Known,Not Known,Not Known,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48999502020101),VERO MODA,,,casual,buttons,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,thigh-length,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(47965901030101),Joseph Ribkoff,,plain,casual,,Not Known,casual,Not Known,regular-fit-tops,Not Known,short,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(51128401020101),Liu Jo Sport,,,casual;home-lounge,Not Known,Not Known,casual,Not Known,oversized-tops,dolman-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48284001020101),Second Female,multicolor;white,floral;leaf,casual;summer,Not Known,Not Known,casual,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,a-line,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(48225501020101),Superdry,,plain,casual,Not Known,Not Known,casual,cotton,regular-fit-tops,straight-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
tensor(49528301080101),Frapp,multicolor,,,Not Known,Not Known,casual,Not Known,regular-fit-tops,straight-sleeve,short,Not Known,Not Known,Not Known,Not Known,long-sleeve,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known,Not Known
